Territorio,Año,Área geográfica,Sexo,Edad,Población
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,71,30982
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,72,28842
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,73,26950
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,74,25195
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,75,23854
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,76,22552
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,77,21223
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,78,19748
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,79,18259
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,80,16587
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,81,14701
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,82,12863
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,83,11349
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,84,10007
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,85,8835
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,86,7607
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,87,6474
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,88,5443
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,89,4575
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,90,3749
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,91,2975
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,92,2344
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,93,1814
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,94,1389
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,95,1060
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,96,791
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,97,592
