codigo_dane,nombre_entidad,anio,poblacion_urbana,poblacion_rural,poblacion_total,pib,valor_agregado_bruto,deuda_publica,ingresos totales,ingresos corrientes,ingresos tributarios,ingresos no tributarios,gastos totales,gastos corrientes,gastos de funcionamiento,desahorro/ahorro corriente,ingresos de capital,regalías,gastos de capital,déficit o superávit total,icm,pcc,gpi,eis,cti,seg,sos,longitud,latitud
94,GUAINÍA,2019,21296.0,28652.0,49948.0,389761277546.1637,375566250925.2169,,179098000000.0,41104000000.0,18940000000.0,80000000.0,192605000000.0,15519000000.0,15519000000.0,25585000000.0,137994000000.0,31899000000.0,177086000000.0,-13507000000.0,34.22295605713732,19.68956184387207,25.36151695251465,22.69691848754883,19.28095436096191,56.83682250976562,61.47195816040039,-68816612721.0,2727842865
94,GUAINÍA,2020,23366.0,28406.0,51772.0,374180508480.9914,361521774179.314,,164788000000.0,46650000000.0,18134000000.0,147000000.0,152770000000.0,16779000000.0,16779000000.0,29871000000.0,118138000000.0,7693000000.0,135992000000.0,12018000000.0,35.18811804792166,19.65111351013184,30.23943710327148,23.13456535339355,22.92224502563477,55.06098556518555,60.120361328125,-68816612721.0,2727842865
94,GUAINÍA,2021,24285.0,29200.0,53485.0,443812712520.037,427799683266.5932,,216077000000.0,52477000000.0,24643000000.0,677000000.0,266125000000.0,18740000000.0,18740000000.0,33737000000.0,163600000000.0,11529000000.0,247384000000.0,-50047000000.0,36.29459911763972,19.59030151367188,30.97634696960449,25.87439155578613,22.32897186279297,57.48599243164062,61.51158905029297,-68816612721.0,2727842865
94,GUAINÍA,2022,25173.0,29956.0,55129.0,500646279901.3795,480182356553.5375,,280693000000.0,48139000000.0,23696000000.0,3071000000.0,210884000000.0,22259000000.0,22259000000.0,25879000000.0,232555000000.0,93376000000.0,188625000000.0,69810000000.0,38.0137082410114,19.63495445251465,32.21170806884766,28.50883865356445,25.6655158996582,62.22812652587891,59.83310699462891,-68816612721.0,2727842865
94,GUAINÍA,2023,26025.0,30672.0,56697.0,554722733617.2439,533381238556.8534,,229426000000.0,74768000000.0,32052000000.0,10662000000.0,237348000000.0,25368000000.0,25368000000.0,49400000000.0,154658000000.0,0.0,211980000000.0,-7922000000.0,38.36092158085086,19.61565971374512,31.33722305297852,27.71202659606934,27.90408325195312,66.72383880615234,56.87269973754883,-68816612721.0,2727842865
94,GUAINÍA,2024,26880.0,31360.0,58240.0,605466784288.3943,583150464620.5367,,279469000000.0,89747000000.0,37812000000.0,4357000000.0,290556000000.0,28698000000.0,28698000000.0,61050000000.0,189722000000.0,0.0,261858000000.0,-11087000000.0,42.16202429506041,22.48044395446777,33.57962799072266,29.35207748413086,40.6655158996582,70.12517547607422,56.76930236816406,-68816612721.0,2727842865
95,GUAVIARE,2018,46066.0,36702.0,82768.0,783327280422.9999,754070804825.8496,5076000000.0,193866000000.0,50564000000.0,25848000000.0,1613000000.0,212541000000.0,24056000000.0,23707000000.0,26509000000.0,143302000000.0,45336000000.0,188486000000.0,-18675000000.0,31.15948778825613,27.05940246582031,29.98691368103027,48.41272354125977,14.82347202301025,22.39055061340332,44.28386306762695,-72128595691.0,1924531973
95,GUAVIARE,2019,46282.0,36856.0,83138.0,832392009780.7767,800926451759.8962,7284000000.0,191801000000.0,51987000000.0,28581000000.0,1621000000.0,247374000000.0,28944000000.0,28638000000.0,23042000000.0,139814000000.0,33235000000.0,218430000000.0,-55574000000.0,34.7850106701894,27.51691627502441,32.73111343383789,51.18151473999023,22.08907127380371,26.90717315673828,48.28427505493164,-72128595691.0,1924531973
95,GUAVIARE,2020,46582.0,36992.0,83574.0,826161131507.2871,796984855147.6066,6034000000.0,216824000000.0,59400000000.0,32825000000.0,1414000000.0,231218000000.0,27458000000.0,27045000000.0,31942000000.0,157424000000.0,49225000000.0,203759000000.0,-14393000000.0,34.46777452084577,27.73410797119141,36.63191223144531,47.25843811035156,21.76826858520508,24.89974212646484,48.51417541503906,-72128595691.0,1924531973
95,GUAVIARE,2021,46763.0,37122.0,83885.0,954875403322.7303,919171886709.0806,3871000000.0,238323000000.0,68853000000.0,43068000000.0,1984000000.0,297996000000.0,31884000000.0,31685000000.0,36970000000.0,169470000000.0,31679000000.0,266112000000.0,-59673000000.0,35.37859822901316,27.99995613098145,36.62440490722656,47.42029190063477,24.23444366455078,25.2680606842041,50.72443389892578,-72128595691.0,1924531973
