nombre_departamento;nombre_entidad;anio;grupo_edad;hombres;mujeres
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;30-34;221.0;260.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;35-39;203.0;234.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;40-44;196.0;225.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;45-49;200.0;221.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;50-54;185.0;206.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;55-59;183.0;213.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;60-64;165.0;195.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;65-69;122.0;141.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;70-74;84.0;92.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;75-79;54.0;59.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;80-84;29.0;28.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;85-89;17.0;14.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;90-94;6.0;5.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;95-99;4.0;5.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2026;100+;0.0;0.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2027;0-4;193.0;219.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2027;5-9;236.0;242.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2027;10-14;257.0;236.0
