Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|1033.82536270245|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|1137.7236431386|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|1435.93293266394|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|2029.93724239714|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|2182.61421373882|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|2537.69266884243|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|2866.47771388551|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|372.30167425172|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|373.163622815287|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|355.375910303902|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|374.476366624685|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|382.532773212237|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2010|Definitivo|353.285513673896|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2011|Definitivo|339.583630487821|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2012|Definitivo|333.158008901049|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2013|Definitivo|312.505579237735|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|301.885617895186|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|329.654973892258|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|375.657746432254|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|392.997566167845|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|421.020615251488|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|453.39505261883|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|491.248887086734|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|627.41814969773|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|838.193486504219|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|924.537314009652|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|1010.94979929007|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
8|Atlántico|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|1135.85105432001|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|8.74344267456564|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|8.74494022055671|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|8.93986668914243|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|9.26240353839511|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|10.0806425804365|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2010|Definitivo|10.5953557416469|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
